N°,Date publication,Funnel,Hook (texte à l'écran),Écran app à filmer,CTA,Statut tournage,Notes tournage
1,2026-04-07,TOFU,"Tu hydrates… mais tes cheveux restent secs ?",Aucun (face cam) + texte LOC/LCO,Suivre + liste d'attente en bio,À tourner,25-35 s
2,2026-04-09,TOFU,"“Il ne faut pas laver souvent” — vraiment ?",Wash Day (calendrier + checklist),Enregistrer le Reel,À tourner,30 s
3,2026-04-11,TOFU,POV : c'est wash day dimanche et tu n'es pas prête,Aucun (humour + logo Coton Noir),Tag une amie,À tourner,20 s
4,2026-04-13,TOFU,Une app capillaire pensée pour nous,Accueil (anneau + tagline + Black Cotton),Activer la cloche,À tourner,25 s
5,2026-04-15,TOFU,Mode protecteur ≠ abandonner tes cheveux,Profil → mode protecteur,Commente ton mode protecteur,À tourner,35 s
6,2026-04-17,MOFU,Ma routine du matin en 4 étapes (dans l'app),Routine → Matin → Valider (+10 CC),Liste d'attente bio,À tourner,40 s
7,2026-04-19,MOFU,Je définis ENFIN ma vraie routine,routine-plan daily → Routine,Demande bêta en bio,À tourner,45 s
8,2026-04-21,MOFU,J'ai montré mes cheveux à une IA,Analyser → résultats (+10 CC),Enregistrer,À tourner,40 s
9,2026-04-23,TOFU,3 signes que ton wash day a raté,Wash Day checklist,Suivre,À tourner,35 s
10,2026-04-25,MOFU,Elle teste l'app avant tout le monde,Témoignage + screens,DM « BÊTA »,À tourner,30 s · UGC requis
11,2026-04-27,MOFU,Mon wash day de A à Z,Wash Day + timer + (+30 CC),Liste d'attente,À tourner,45 s
12,2026-04-29,MOFU,Routine du soir en 10 min,Routine → Soir → Valider,Partager,À tourner,35 s
13,2026-05-01,MOFU,Comment je mesure ma pousse (4 zones),Progrès + Accueil anneau,Enregistrer,À tourner,40 s
14,2026-05-03,TOFU,Carnet vs App : le match,Split Notes / app,Lien bio,À tourner,30 s
15,2026-05-04,MOFU,On me récompense pour soigner mes cheveux ?,Récompenses + gains CC,Commente ton score CC,À tourner,35 s
16,2026-05-07,MOFU,Tout dans « Découvrir »,discover,Suivre,À tourner,35 s
17,2026-05-09,MOFU,Masque maison → dans MA routine,Recettes + routine-plan,Enregistrer,À tourner,40 s
18,2026-05-11,MOFU,Hydra Challenge : 1247 inscrites,Highlights → Communauté,Qui est partante ?,À tourner,30 s
19,2026-05-13,MOFU,Invite ta meilleure → +50 CC,Inviter,Tag,À tourner,25 s
20,2026-05-15,TOFU,Pourquoi on a créé Coton Noir,Face cam fondateur·se,Newsletter bio,À tourner,45 s
21,2026-05-05,BOFU,Plus que 14 jours (countdown),Best-of screens,Pré-inscription bio,À tourner,20 s · J-14
22,2026-05-14,BOFU,5 questions sur l'app (FAQ),PIP screens,6e question en commentaire,À tourner,45 s
23,2026-05-17,BOFU,500 premières : bonus CC,Onboarding +50 CC,Commente « PREMIÈRE »,À tourner,30 s
24,2026-05-17,BOFU,Live ce soir 20h — démo app,Teaser,Activer rappel live,À tourner,15 s · même jour OK (Stories)
25,2026-05-12,BOFU,Dans 7 jours : ton 1er jour dans l'app,Parcours J1 complet,Rappel lancement,À tourner,50 s
26,2026-05-16,BOFU,J-3 : active le rappel Store,Tuto App Store / Play,Commente « PRÊTE »,À tourner,20 s
27,2026-05-18,BOFU,Demain 9h. C'est live.,Logo + Accueil,—,À tourner,15 s
28,2026-05-19,BOFU,COTON NOIR EST DISPO 🔗,Lancement stores + app,+50 CC à l'inscription,À tourner,35 s · JOUR J
29,2026-05-21,BOFU,Téléchargé ? Fais ça en 5 min,routine-plan + validation,Commente « STREAK »,À tourner,40 s
30,2026-05-26,BOFU,Vos 1ères semaines (#MaRoutineCotonNoir),Stitch UGC,Repost + hashtag,À tourner,30 s
